464,366
516,388
570,418
622,443
678,472
729,500
782,527
837,553
890,582
942,609
995,637
1048,665
1101,691
1154,720
1206,747
1258,773
1310,749
1259,720
1206,692
1153,664
1100,638
1045,611
993,582
942,554
890,527
835,500
782,472
726,447
675,418
623,391
571,362
520,338
571,253
624,280
678,308
729,334
784,362
835,392
889,419
940,445
994,472
1047,499
1100,528
1154,557
1203,583
1258,611
1313,637
1366,663
1419,691
1471,666
1420,638
1364,611
1311,581
1259,557
1206,529
1153,502
1102,470
1046,442
994,418
942,390
888,361
833,337
783,307
727,278
673,253
626,228
729,169
783,197
833,223
886,252
943,281
992,307
1046,332
1099,360
1151,389
1208,418
1259,449
1313,475
1366,502
1417,529
1470,557
1525,582
1579,609
1631,582
1576,557
1524,527
1470,502
1416,473
1365,446
1313,418
1259,390
1205,361
1153,335
1100,307
1046,280
993,252
939,225
887,197
835,168
783,143
